Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
Amitava Bhattacharjee,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/amitava-bhattacharjee,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
William Bialek,"Physics, Lewis-Sigler Institute for Integrative Genomics, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/william-bialek,"Physics, Lewis-Sigler Institute Integrative Genomics, Princeton Neuroscience Institute","Physics, Lewis-Sigler, Institute, Integrative, Genomics, Princeton, Neuroscience, Institute","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , ","Physics, Lewis-Sigler, Institute, Integrative, Genomics, Princeton, Neuroscience, Institute, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , "
He Bian,History,https://collaborate.princeton.edu/en/persons/he-bian,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Joshua Henry Billings,Classics,https://collaborate.princeton.edu/en/persons/joshua-henry-billings,Classics,Classics,"classics, classic","Classics, classics, classic"
Michael Albert Blaakman,History,https://collaborate.princeton.edu/en/persons/michael-albert-blaakman,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Christopher William Blair,Politics,https://collaborate.princeton.edu/en/persons/christopher-william-blair,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Zachary Bleemer,Economics,https://collaborate.princeton.edu/en/persons/zachary-bleemer,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Alan Stuart Blinder,"Economics, Bendheim Center for Finance, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/alan-stuart-blinder,"Economics, Bendheim Center Finance, Princeton Materials Institute","Economics, Bendheim, Center, Finance, Princeton, Materials, Institute","economic_science, economics, political_economy, , , , , , ","Economics, Bendheim, Center, Finance, Princeton, Materials, Institute, economic_science, economics, political_economy, , , , , , "
Goran Magnus Blix,French & Italian,https://collaborate.princeton.edu/en/persons/goran-magnus-blix,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Andrew Bruce Bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrew-bruce-bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute","Chemistry, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , ","Chemistry, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , "
Carles Boix,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/carles-boix,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Yarimar Bonilla,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/yarimar-bonilla,Effron Center Study of America,"Effron, Center, Study, of, America",", , , , ","Effron, Center, Study, of, America, , , , , "
Amy Beth Borovoy,East Asian Studies,https://collaborate.princeton.edu/en/persons/amy-beth-borovoy,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Grace Bosse,Physics,https://collaborate.princeton.edu/en/persons/grace-bosse,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Lisa M. Boulanger,"Princeton Neuroscience Institute, Molecular Biology",https://collaborate.princeton.edu/en/persons/lisa-m-boulanger,"Princeton Neuroscience Institute, Molecular Biology","Princeton, Neuroscience, Institute, Molecular, Biology","Princeton, Princeton_University, , , , ","Princeton, Neuroscience, Institute, Molecular, Biology, Princeton, Princeton_University, , , , "
Emmanuel C. Bourbouhakis,Classics,https://collaborate.princeton.edu/en/persons/emmanuel-c-bourbouhakis,Classics,Classics,"classics, classic","Classics, classics, classic"
Ian Charles Bourg,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/ian-charles-bourg,Civil Environmental Engineering,"Civil, Environmental, Engineering","civil, polite, civic, , ","Civil, Environmental, Engineering, civil, polite, civic, , "
Leah Platt Boustan,Economics,https://collaborate.princeton.edu/en/persons/leah-platt-boustan,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Elie R. Bou-Zeid,"Civil & Environmental Engineering, High Meadows Environmental Institute, Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid,"Civil Environmental Engineering, High Meadows Environmental Institute, Mechanical Aerospace Engineering, Princeton Materials Institute","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Mechanical, Aerospace, Engineering, Princeton, Materials, Institute","civil, polite, civic, , , , , , , , , , , , ","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Mechanical, Aerospace, Engineering, Princeton, Materials, Institute, civil, polite, civic, , , , , , , , , , , , "
Jacob A. Boyer,Princeton Branch of the Ludwig Institute for Cancer Research,https://collaborate.princeton.edu/en/persons/jacob-a-boyer,Princeton Branch of Ludwig Institute Cancer Research,"Princeton, Branch, of, Ludwig, Institute, Cancer, Research","Princeton, Princeton_University, , , , , , ","Princeton, Branch, of, Ludwig, Institute, Cancer, Research, Princeton, Princeton_University, , , , , , "
Benjamin Hofman Bradlow,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/benjamin-hofman-bradlow,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Clifford Paul Brangwynne,"Chemical & Biological Engineering, Lewis-Sigler Institute for Integrative Genomics, Molecular Biology, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/clifford-paul-brangwynne,"Chemical Biological Engineering, Lewis-Sigler Institute Integrative Genomics, Molecular Biology, Princeton Materials Institute","Chemical, Biological, Engineering, Lewis-Sigler, Institute, Integrative, Genomics, Molecular, Biology, Princeton, Materials, Institute","chemic, chemical_substance, chemical, , , , , , , , , , , ","Chemical, Biological, Engineering, Lewis-Sigler, Institute, Integrative, Genomics, Molecular, Biology, Princeton, Materials, Institute, chemic, chemical_substance, chemical, , , , , , , , , , , "
Mark Braverman,Computer Science,https://collaborate.princeton.edu/en/persons/mark-braverman,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Monica Cecilia Bravo,Art and Archaeology,https://collaborate.princeton.edu/en/persons/monica-cecilia-bravo,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Tyondai Adaien Braxton,Music,https://collaborate.princeton.edu/en/persons/tyondai-adaien-braxton,Music,Music,"medicine, euphony, music","Music, medicine, euphony, music"
Christopher Greg Brinton,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/christopher-greg-brinton,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Claudia Joan Brodsky,Comparative Literature,https://collaborate.princeton.edu/en/persons/claudia-joan-brodsky,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Carlos D. Brody,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/carlos-d-brody,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
John Francis Brooks,Molecular Biology,https://collaborate.princeton.edu/en/persons/john-francis-brooks,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Marina S. Brownlee,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/marina-s-brownlee,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Pierre-Thomas Brun,"Chemical & Biological Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/pierre-thomas-brun,"Chemical Biological Engineering, Princeton Materials Institute","Chemical, Biological, Engineering, Princeton, Materials, Institute","chemic, chemical_substance, chemical, , , , , ","Chemical, Biological, Engineering, Princeton, Materials, Institute, chemic, chemical_substance, chemical, , , , , "
Markus Konrad Brunnermeier,"Economics, Bendheim Center for Finance, Princeton Entrepreneurship Council",https://collaborate.princeton.edu/en/persons/markus-konrad-brunnermeier,"Economics, Bendheim Center Finance, Princeton Entrepreneurship Council","Economics, Bendheim, Center, Finance, Princeton, Entrepreneurship, Council","economic_science, economics, political_economy, , , , , , ","Economics, Bendheim, Center, Finance, Princeton, Entrepreneurship, Council, economic_science, economics, political_economy, , , , , , "
Smita Bhatnagar Brunnermeier,Economics,https://collaborate.princeton.edu/en/persons/smita-bhatnagar-brunnermeier,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Mark Philip Brynildsen,"Chemical & Biological Engineering, Molecular Biology",https://collaborate.princeton.edu/en/persons/mark-philip-brynildsen,"Chemical Biological Engineering, Molecular Biology","Chemical, Biological, Engineering, Molecular, Biology","chemic, chemical_substance, chemical, , , , ","Chemical, Biological, Engineering, Molecular, Biology, chemic, chemical_substance, chemical, , , , "
Lara Marie Buchak,Philosophy,https://collaborate.princeton.edu/en/persons/lara-marie-buchak,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Nicholas Wyeth Buchholz,Economics,https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Dmitry Abanin,Physics,https://collaborate.princeton.edu/en/persons/dmitry-abanin,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Mohamed S. Abou Donia,"Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/mohamed-s-abou-donia,"Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research","Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research","molecular, , , , , , , , ","Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, molecular, , , , , , , , "
Parastoo Abtahi,Computer Science,https://collaborate.princeton.edu/en/persons/parastoo-abtahi,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Ryan P. Adams,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/ryan-p-adams,"Computer Science, Center Statistics Machine Learning","Computer, Science, Center, Statistics, Machine, Learning","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Statistics, Machine, Learning, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Brittany Adamson,"Molecular Biology, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/britt-adamson,"Molecular Biology, Lewis-Sigler Institute Integrative Genomics","Molecular, Biology, Lewis-Sigler, Institute, Integrative, Genomics","molecular, , , , , ","Molecular, Biology, Lewis-Sigler, Institute, Integrative, Genomics, molecular, , , , , "
Sigrid M. Adriaenssens,"Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/sigrid-m-adriaenssens,"Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","civil, polite, civic, , , , , , , , , ","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, civil, polite, civic, , , , , , , , , "
Mark A. Aguiar,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/mark-a-aguiar,"Economics, Bendheim Center Finance","Economics, Bendheim, Center, Finance","economic_science, economics, political_economy, , , ","Economics, Bendheim, Center, Finance, economic_science, economics, political_economy, , , "
Amir Ali Ahmadi,"Operations Research & Financial Engineering, Center for Statistics & Machine Learning, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/amir-ali-ahmadi,"Operations Research Financial Engineering, Center Statistics Machine Learning, Mechanical Aerospace Engineering","Operations, Research, Financial, Engineering, Center, Statistics, Machine, Learning, Mechanical, Aerospace, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , ","Operations, Research, Financial, Engineering, Center, Statistics, Machine, Learning, Mechanical, Aerospace, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , "
Byron T. Ahn,Council of the Humanities,https://collaborate.princeton.edu/en/persons/byron-t-ahn,Council of Humanities,"Council, of, Humanities","council, , ","Council, of, Humanities, council, , "
Yacine Ait-Sahalia,"Economics, Bendheim Center for Finance, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/yacine-ait-sahalia,"Economics, Bendheim Center Finance, Center Statistics Machine Learning","Economics, Bendheim, Center, Finance, Center, Statistics, Machine, Learning","economic_science, economics, political_economy, , , , , , , ","Economics, Bendheim, Center, Finance, Center, Statistics, Machine, Learning, economic_science, economics, political_economy, , , , , , , "
Michael Aizenman,"Physics, Mathematics",https://collaborate.princeton.edu/en/persons/michael-aizenman,"Physics, Mathematics","Physics, Mathematics","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, ","Physics, Mathematics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, "
Joshua Akey,Lewis-Sigler Institute for Integrative Genomics,https://collaborate.princeton.edu/en/persons/joshua-akey,Lewis-Sigler Institute Integrative Genomics,"Lewis-Sigler, Institute, Integrative, Genomics",", , , ","Lewis-Sigler, Institute, Integrative, Genomics, , , , "
Christine Allen-Blanchette,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/christine-allen-blanchette,Mechanical Aerospace Engineering,"Mechanical, Aerospace, Engineering","mechanically_skillful, mechanical, , ","Mechanical, Aerospace, Engineering, mechanically_skillful, mechanical, , "
April Alliston,Comparative Literature,https://collaborate.princeton.edu/en/persons/april-alliston,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Noga Mordechai Alon,Mathematics,https://collaborate.princeton.edu/en/persons/noga-mordechai-alon,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Bridget Alsdorf,Art and Archaeology,https://collaborate.princeton.edu/en/persons/bridget-alsdorf,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Anthony E. Ambrosini,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/anthony-e-ambrosini,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Alexandra Amon,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/alexandra-amon,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Maria Apostolaki,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/maria-apostolaki,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Andrew Wilson Appel,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/andrew-wilson-appel,"Computer Science, Center Information Technology Policy","Computer, Science, Center, Information, Technology, Policy","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Information, Technology, Policy, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Elizabeth Mitchell Armstrong,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/elizabeth-mitchell-armstrong,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Craig B. Arnold,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment, Electrical and Computer Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/craig-b-arnold,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment, Electrical and Computer Engineering, High Meadows Environmental Institute, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment, Electrical, and, Computer, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , , , , , , , , , , , , , ","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment, Electrical, and, Computer, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , , , , , , , , , , , , , "
Sanjeev Arora,"Computer Science, Bendheim Center for Finance, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/sanjeev-arora,"Computer Science, Bendheim Center Finance, Center Statistics Machine Learning","Computer, Science, Bendheim, Center, Finance, Center, Statistics, Machine, Learning","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , , , , ","Computer, Science, Bendheim, Center, Finance, Center, Statistics, Machine, Learning, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , , , , "
Nathan Todd Arrington,Art and Archaeology,https://collaborate.princeton.edu/en/persons/nathan-todd-arrington,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Orley Clark Ashenfelter,Economics,https://collaborate.princeton.edu/en/persons/orley-clark-ashenfelter,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Josh Atkinson,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/josh-atkinson,Civil Environmental Engineering,"Civil, Environmental, Engineering","civil, polite, civic, , ","Civil, Environmental, Engineering, civil, polite, civic, , "
David I. August,"Computer Science, Electrical and Computer Engineering, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/david-i-august,"Computer Science, Electrical and Computer Engineering, Princeton Institute Computational Science and Engineering","Computer, Science, Electrical, and, Computer, Engineering, Princeton, Institute, Computational, Science, and, Engineering","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , , , , , , , ","Computer, Science, Electrical, and, Computer, Engineering, Princeton, Institute, Computational, Science, and, Engineering, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , , , , , , , "
Robert Hamilton Austin,"Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/robert-hamilton-austin,"Physics, Princeton Materials Institute","Physics, Princeton, Materials, Institute","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , ","Physics, Princeton, Materials, Institute, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , "
Jose L. Avalos,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jose-l-avalos,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Julien F. Ayroles,Ecology & Evolutionary Biology,https://collaborate.princeton.edu/en/persons/julien-f-ayroles,Ecology Evolutionary Biology,"Ecology, Evolutionary, Biology","environmental_science, bionomics, ecology, , ","Ecology, Evolutionary, Biology, environmental_science, bionomics, ecology, , "
Neta A. Bahcall,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/neta-a-bahcall,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Gaspar Aron Bakos,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/gaspar-aron-bakos,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Waseem S. Bakr,Physics,https://collaborate.princeton.edu/en/persons/waseem-s-bakr,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
David A. Baldwin,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/david-a-baldwin,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Yelena Baraz,Classics,https://collaborate.princeton.edu/en/persons/yelena-baraz,Classics,Classics,"classics, classic","Classics, classics, classic"
Charlie Barber,Art and Archaeology,https://collaborate.princeton.edu/en/persons/charlie-barber,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Edward George Baring,History,https://collaborate.princeton.edu/en/persons/edward-george-baring,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Rhae Lynn Barnes,History,https://collaborate.princeton.edu/en/persons/rhae-lynn-barnes,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Gary Jonathan Bass,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/gary-jonathan-bass,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Bonnie Lynn Bassler,"Molecular Biology, Chemistry, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/bonnie-lynn-bassler,"Molecular Biology, Chemistry, High Meadows Environmental Institute","Molecular, Biology, Chemistry, High, Meadows, Environmental, Institute","molecular, , , , , , ","Molecular, Biology, Chemistry, High, Meadows, Environmental, Institute, molecular, , , , , , "
Leora Faye Batnitzky,Religion,https://collaborate.princeton.edu/en/persons/leora-faye-batnitzky,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Basile Charles Baudez,Art and Archaeology,https://collaborate.princeton.edu/en/persons/basile-charles-baudez,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Ryne Beeson,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/ryne-beeson,Mechanical Aerospace Engineering,"Mechanical, Aerospace, Engineering","mechanically_skillful, mechanical, , ","Mechanical, Aerospace, Engineering, mechanically_skillful, mechanical, , "
Mark R. Beissinger,Politics,https://collaborate.princeton.edu/en/persons/mark-r-beissinger,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Charles R. Beitz,Politics,https://collaborate.princeton.edu/en/persons/charles-r-beitz,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Wendy Laura Belcher,Comparative Literature,https://collaborate.princeton.edu/en/persons/wendy-laura-belcher,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Aisha M. Beliso-De Jesus,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/aisha-m-beliso-de-jesus,Effron Center Study of America,"Effron, Center, Study, of, America",", , , , ","Effron, Center, Study, of, America, , , , , "
David A. Bell,History,https://collaborate.princeton.edu/en/persons/david-a-bell,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
